Variable,Type,Community,Value,Z-Score,Classification
arsonsPerPop,ratio,Portlandcity,182.84,3.927772641868401,Rare but real
murdPerPop,ratio,Bridgetoncity,41.81,3.926995178772981,Rare but real
arsonsPerPop,ratio,Hartfordtown,182.78,3.926213396218959,Rare but real
PctPersDenseHous,percentage,SanJuancity,26.11,3.926059860555979,Rare but real
medIncome,monetary,Saratogacity,86674.0,3.925695180240591,Rare but real
larcenies,count,Jacksonvillecity,31936.0,3.9242462473293633,Rare but real
autoTheft,count,Memphiscity,13289.0,3.9237724834484355,Rare but real
PctUnemployed,percentage,Demingcity,17.4,3.922244420585907,Rare but real
larcPerPop,ratio,RichmondHeightscity,10822.35,3.9216959102091526,Rare but real
racePctHisp,percentage,SantaAnacity,65.15,3.9214118484757576,Rare but real
racepctblack,percentage,Chestercity,65.17,3.919905511181317,Rare but real
rapesPerPop,ratio,Aberdeencity,163.47,3.917314994572211,Rare but real
larcenies,count,Miamicity,31871.0,3.9156867228176155,Rare but real
burglPerPop,ratio,Tuskegeecity,4019.61,3.915626825369504,Rare but real
PctFam2Par,percentage,Camdencity,32.86,3.9149363848535916,Rare but real
RentQrange,count,Sharontown,530.0,3.905712254321313,Rare but real
assaultPerPop,ratio,SanBernardinocity,2083.42,3.904545187846189,Rare but real
PctUsePubTrans,percentage,Baltimorecity,22.19,3.898539380961578,Rare but real
racePctWhite,percentage,Prichardcity,20.14,3.8890263184105285,Rare but real
PctUnemployed,percentage,Harveycity,17.3,3.887701682995566,Rare but real
PctVacantBoarded,percentage,Harrisburgcity,16.74,3.887274157344081,Rare but real
PctRecentImmig,percentage,BaldwinParkcity,7.3,3.88670710301805,Rare but real
PctPersDenseHous,percentage,PicoRiveracity,25.88,3.8849727843473225,Rare but real
PctWOFullPlumb,percentage,Newarkcity,2.08,3.883496521097693,Rare but real
racePctAsian,percentage,PalisadesParkborough,20.02,3.8789275521184923,Rare but real
pctWSocSec,percentage,Hemetcity,58.55,3.8752861680564017,Rare but real
PctUnemployed,percentage,Selmacity,17.23,3.8635217666823274,Rare but real
larcenies,count,Washingtoncity,31466.0,3.8623543008598014,Rare but real
PctRecentImmig,percentage,Nogalescity,7.26,3.861635115129687,Rare but real
NumInShelters,count,Bostoncity,2245.0,3.8609236471581165,Rare but real
autoTheft,count,Fresnocity,13083.0,3.860490317732933,Rare but real
PctWOFullPlumb,percentage,Donnacity,2.07,3.860027412028574,Rare but real
RentQrange,count,Westontown,526.0,3.858756430915072,Rare but real
PctNotSpeakEnglWell,percentage,Douglascity,18.63,3.854264656414564,Rare but real
PctLargHouseFam,percentage,NorthOgdencity,19.97,3.8443555819282027,Rare but real
PctRecentImmig,percentage,WestHollywoodcity,7.23,3.8428311242134146,Rare but real
PctPopUnderPov,percentage,Athenscity,44.66,3.842508112954092,Rare but real
autoTheftPerPop,ratio,Chestercity,2410.71,3.8413052845511486,Rare but real
PctImmigRec5,percentage,Starkvillecity,68.05,3.838686950642122,Rare but real
assaultPerPop,ratio,BatonRougecity,2054.34,3.8380012749378043,Rare but real
PctNotSpeakEnglWell,percentage,Fillmorecity,18.56,3.837635275716628,Rare but real
PctVacantBoarded,percentage,Baltimorecity,16.56,3.8371570111778297,Rare but real
PersPerRentOccHous,ratio,Pharrcity,3.87,3.8365990236988696,Rare but real
PctWOFullPlumb,percentage,MiamiSpringscity,2.06,3.8365583029594563,Rare but real
RentQrange,count,Spartatownship,524.0,3.835278519211952,Rare but real
larcenies,count,Atlantacity,31249.0,3.833778657489812,Rare but real
racePctWhite,percentage,CollegeParkcity,21.07,3.83237210933894,Rare but real
OwnOccQrange,count,Concordtown,206400.0,3.830856079059759,Rare but real
PctNotSpeakEnglWell,percentage,McAllencity,18.51,3.8257571466466738,Rare but real
arsonsPerPop,ratio,Newportcity,178.84,3.823822931905605,Rare but real
PctUsePubTrans,percentage,LongBeachcity,21.82,3.8232106993972574,Rare but real
murdPerPop,ratio,Oaklandcity,40.84,3.8210393873983524,Rare but real
PctPopUnderPov,percentage,Pharrcity,44.47,3.8204110060217467,Rare but real
PctUsePubTrans,percentage,RockvilleCentrevillage,21.8,3.819138878772159,Rare but real
PctPopUnderPov,percentage,BigRapidscity,44.45,3.818084994765711,Rare but real
arsonsPerPop,ratio,Swanseatown,178.53,3.815766829383488,Rare but real
PctPersDenseHous,percentage,Pomonacity,25.49,3.815303394254384,Rare but real
assaults,count,Phoenixcity,7872.0,3.8082548618508167,Rare but real
PctUnemployed,percentage,RiverRougecity,17.07,3.8082533865377814,Rare but real
PctUsePubTrans,percentage,Evanstoncity,21.73,3.804887506584315,Rare but real
PctLargHouseFam,percentage,SanJuancity,19.82,3.804813769373214,Rare but real
murdPerPop,ratio,Inglewoodcity,40.67,3.8024698157141392,Rare but real
PctHousNoPhone,percentage,Freeportcity,19.83,3.802108777192524,Rare but real
robbbPerPop,ratio,NewOrleanscity,1053.46,3.8009046440047,Rare but real
assaultPerPop,ratio,Pontiaccity,2038.09,3.800816316727307,Rare but real
PctNotSpeakEnglWell,percentage,SanBenitocity,18.4,3.799625262692773,Rare but real
racePctWhite,percentage,Detroitcity,21.63,3.798257746887231,Rare but real
RentQrange,count,Brooklinetown,520.0,3.7883226958057103,Rare but real
PctNotSpeakEnglWell,percentage,Reedleycity,18.35,3.7877471336228195,Rare but real
burglPerPop,ratio,Greenvillecity,3921.35,3.786795760069109,Rare but real
racepctblack,percentage,Birminghamcity,63.27,3.7865154508065544,Rare but real
assaultPerPop,ratio,EastChicagocity,2031.57,3.7858965673406955,Rare but real
PctImmigRec5,percentage,Tiftoncity,67.39,3.7854935466865465,Rare but real
robbbPerPop,ratio,Prichardcity,1049.77,3.785161527997743,Rare but real
PctUnemployed,percentage,Maderacity,17.0,3.784073470224542,Rare but real
assaultPerPop,ratio,Bessemercity,2029.43,3.780999594382513,Rare but real
PctLargHouseFam,percentage,Mercedescity,19.72,3.7784525610032205,Rare but real
PctHousOccup,percentage,PuntaGordacity,73.9,3.776883292010283,Rare but real
PctSameHouse85,percentage,Temeculacity,11.83,3.7761781758655992,Rare but real
racePctAsian,percentage,Albanycity,19.56,3.77608446464852,Rare but real
PctPopUnderPov,percentage,Prichardcity,44.08,3.775053786529038,Rare but real
PctUnemployed,percentage,Pharrcity,16.97,3.7737106489474397,Rare but real
racePctAsian,percentage,SanJosecity,19.54,3.7716130260628695,Rare but real
rapesPerPop,ratio,Kennettcity,158.69,3.7711287813768704,Rare but real
pctWSocSec,percentage,PuntaGordacity,57.66,3.767976205610128,Rare but real
PctPersDenseHous,percentage,Mercedescity,25.22,3.767070739574657,Rare but real
racePctAsian,percentage,TempleCitycity,19.51,3.7649058681843934,Rare but real
pctWPubAsst,percentage,Donnacity,24.49,3.7641040755953226,Rare but real
medIncome,monetary,Piedmontcity,84498.0,3.76356905425203,Rare but real
arsonsPerPop,ratio,Zanesvillecity,176.41,3.760673483103206,Rare but real
medIncome,monetary,Bloomfieldtownship,84441.0,3.759322184223837,Rare but real
arsonsPerPop,ratio,Richmondcity,176.23,3.7559957461548796,Rare but real
PctNotSpeakEnglWell,percentage,Missioncity,18.2,3.752112746412955,Rare but real
racePctWhite,percentage,Irvingtontownship,22.43,3.749522943384789,Rare but real
PctPopUnderPov,percentage,Brownsvillecity,43.86,3.7494676627126386,Rare but real
PctVacantBoarded,percentage,Clevelandcity,16.23,3.745275576539703,Rare but real
racePctAsian,percentage,Fremontcity,19.42,3.7447843945489643,Rare but real
PctLargHouseFam,percentage,SpanishForkcity,19.59,3.7441829901222303,Rare but real
PersPerFam,ratio,Nogalescity,4.03,3.740535033871665,Rare but real
PctNotSpeakEnglWell,percentage,MiamiBeachcity,18.15,3.7402346173430003,Rare but real
racePctHisp,percentage,Miamicity,62.46,3.736995234086855,Rare but real
racePctHisp,percentage,Delanocity,62.45,3.7363096704645913,Rare but real
PctNotSpeakEnglWell,percentage,Sangercity,18.13,3.735483365715018,Rare but real
ViolentCrimesPerPop,ratio,Bessemercity,2758.9,3.7348364018190505,Rare but real
robbbPerPop,ratio,Lynwoodcity,1037.86,3.734348381211061,Rare but real
PctUsePubTrans,percentage,NorthBergentownship,21.37,3.731594735332544,Rare but real
racePctHisp,percentage,Kingsvillecity,62.37,3.7308251614864822,Rare but real
PctNotSpeakEnglWell,percentage,Oxnardcity,18.11,3.7307321140870364,Rare but real
PctRecentImmig,percentage,Reedleycity,7.05,3.7300071787157782,Rare but real
PctFam2Par,percentage,MuskegonHeightscity,34.82,3.7286878994519803,Rare but real
NumInShelters,count,Seattlecity,2170.0,3.7279745694470563,Rare but real
pctWPubAsst,percentage,Robstowncity,24.32,3.7279282725505305,Rare but real
PctPersDenseHous,percentage,Oxnardcity,25.0,3.727770057983769,Rare but real
pctWPubAsst,percentage,ForrestCitycity,24.31,3.7258002841361306,Rare but real
racePctAsian,percentage,Sunnyvalecity,19.33,3.7246629209135342,Rare but real
medIncome,monetary,Holmdeltownship,83975.0,3.724602159081066,Rare but real
PctRecentImmig,percentage,LaPuentecity,7.04,3.723739181743688,Rare but real
robbbPerPop,ratio,NewHaventown,1035.08,3.7224877138670665,Rare but real
PctWOFullPlumb,percentage,Americuscity,2.01,3.719212757613864,Rare but real
rapesPerPop,ratio,Selmacity,156.97,3.71852621093838,Rare but real
racePctHisp,percentage,Beevillecity,62.11,3.7130005073076298,Rare but real
PctRecentImmig,percentage,SouthElMontecity,7.02,3.7112031877995055,Rare but real
racePctAsian,percentage,Alamedacity,19.25,3.7067771665709306,Rare but real
murdPerPop,ratio,Galvestoncity,39.78,3.705252646308552,Rare but real
burglaries,count,Miamicity,12277.0,3.7042997393112125,Rare but real
racepctblack,percentage,NewOrleanscity,61.92,3.691738302645538,Rare but real
burglPerPop,ratio,Hendersoncity,3848.28,3.6909919137277716,Rare but real
OwnOccQrange,count,SantaBarbaracity,200800.0,3.687625035189231,Rare but real
arsonsPerPop,ratio,BentonHarborcity,173.47,3.6842704462805504,Rare but real
RentQrange,count,Branchburgtownship,511.0,3.6826720931416683,Rare but real
ViolentCrimesPerPop,ratio,Opelikacity,2728.14,3.6824086611543403,Rare but real
PctRecentImmig,percentage,GardenGrovecity,6.97,3.6798632029390514,Rare but real
pctWPubAsst,percentage,Mercedescity,24.09,3.678984539019341,Rare but real
rapesPerPop,ratio,Pampacity,155.61,3.676933480824225,Rare but real
rapes,count,SanDiegocity,396.0,3.673686470919324,Rare but real
assaultPerPop,ratio,Richmondcity,1982.21,3.6729458265856105,Rare but real
PctVacantBoarded,percentage,BentonHarborcity,15.97,3.672884143188451,Rare but real
medIncome,monetary,Millburntownship,83275.0,3.6724476148751872,Rare but real
RentQrange,count,Orindacity,510.0,3.670933137290108,Rare but real
robbbPerPop,ratio,Tampacity,1022.83,3.670223981865653,Rare but real
PctPopUnderPov,percentage,Douglascity,43.13,3.6645682518673124,Rare but real
PctHousOccup,percentage,Weslacocity,74.47,3.663779029100847,Rare but real
PctNotSpeakEnglWell,percentage,Montebellocity,17.82,3.6618389654813,Rare but real
burglPerPop,ratio,Annistoncity,3824.98,3.6604427195338043,Rare but real
RentQrange,count,Needhamtown,509.0,3.6591941814385476,Rare but real
PersPerRentOccHous,ratio,LaPuentecity,3.8,3.6578987321184657,Rare but real
PersPerFam,ratio,EastPaloAltocity,4.01,3.657439960733207,Rare but real
racePctWhite,percentage,Lynwoodcity,23.96,3.6563176316863695,Rare but real
racePctWhite,percentage,CityofOrangetownship,23.96,3.6563176316863695,Rare but real
racePctHisp,percentage,Selmacity,61.28,3.656098726659753,Rare but real
nonViolPerPop,ratio,Miamicity,14679.18,3.653438190430655,Rare but real
racePctAsian,percentage,Hillsboroughtown,19.01,3.6531199035431197,Rare but real
robberies,count,SanFranciscocity,8454.0,3.652092714878772,Rare but real
PctFam2Par,percentage,Hartfordtown,35.63,3.651717862117641,Rare but real
murders,count,SanAntoniocity,220.0,3.6495793000549805,Rare but real
burglaries,count,KansasCitycity,12106.0,3.649297407955049,Rare but real
PctUnemployed,percentage,Garycity,16.6,3.645902519863178,Rare but real
larcPerPop,ratio,Sanfordcity,10298.3,3.6458262922462956,Rare but real
pctWPubAsst,percentage,Dinubacity,23.93,3.644936724388948,Rare but real
PctUsePubTrans,percentage,HighlandParkcity,20.94,3.644050591892929,Rare but real
rapes,count,Denvercity,393.0,3.6438941892978116,Rare but real
arsonsPerPop,ratio,Lowellcity,171.88,3.642950436570339,Rare but real
PctNotSpeakEnglWell,percentage,Alhambracity,17.72,3.63808270734139,Rare but real
racePctWhite,percentage,Delanocity,24.26,3.6380420803729536,Rare but real
PctFam2Par,percentage,AsburyParkcity,35.83,3.6327129146276813,Rare but real
OwnOccQrange,count,Lafayettecity,198601.0,3.631381273497929,Rare but real
PctRecentImmig,percentage,DalyCitycity,6.89,3.629719227162324,Rare but real
PctPersDenseHous,percentage,Inglewoodcity,24.45,3.6295183540065477,Rare but real
racePctHisp,percentage,Watsonvillecity,60.86,3.6273050545246823,Rare but real
racePctHisp,percentage,Paramountcity,60.83,3.625248363657892,Rare but real
rapes,count,SanJosecity,391.0,3.624032668216804,Rare but real
OwnOccQrange,count,MiamiBeachcity,198200.0,3.621124907677914,Rare but real
burglPerPop,ratio,Daniacity,3794.52,3.6205058759652107,Rare but real
PctLargHouseFam,percentage,SanBenitocity,19.12,3.6202853107832644,Rare but real
pctWPubAsst,percentage,Flintcity,23.81,3.6194008634161534,Rare but real
PersPerFam,ratio,PicoRiveracity,4.0,3.61589242416398,Rare but real
pctWPubAsst,percentage,EaglePasscity,23.79,3.615144886587354,Rare but real
PctUnemployed,percentage,Tuskegeecity,16.51,3.614814056031871,Rare but real
racePctWhite,percentage,Fairfieldcity,24.75,3.6081920132277086,Rare but real
PctNotSpeakEnglWell,percentage,LaPuentecity,17.59,3.6071995717595087,Rare but real
PctLargHouseFam,percentage,Nogalescity,19.07,3.607104706598268,Rare but real
PersPerRentOccHous,ratio,Rexburgcity,3.78,3.606841505952636,Rare but real
PersPerRentOccHous,ratio,Bellcity,3.78,3.606841505952636,Rare but real
OwnOccQrange,count,CoralGablescity,197600.0,3.605778724406072,Rare but real
ViolentCrimesPerPop,ratio,PompanoBeachcity,2682.28,3.6042442857680084,Rare but real
PctUsePubTrans,percentage,CliffsideParkborough,20.74,3.603332385641944,Rare but real
PctNotSpeakEnglWell,percentage,Pomonacity,17.57,3.602448320131527,Rare but real
arsonsPerPop,ratio,Covingtoncity,170.22,3.5998113069357784,Rare but real
PctRecentImmig,percentage,Montebellocity,6.84,3.59837924230187,Rare but real
ViolentCrimesPerPop,ratio,FortMyerscity,2678.55,3.597886825667899,Rare but real
larcenies,count,ElPasocity,29440.0,3.595560506078243,Rare but real
racePctHisp,percentage,Dinubacity,60.37,3.593712437033767,Rare but real
PctHousNoPhone,percentage,Lamesacity,18.97,3.59169844894485,Rare but real
PctVacantBoarded,percentage,Savannahcity,15.67,3.589355566244699,Rare but real
RentQrange,count,Hazlettownship,503.0,3.588760446329186,Rare but real
murdPerPop,ratio,Brunswickcity,38.69,3.5861889219803604,Rare but real
arsonsPerPop,ratio,Fresnocity,169.63,3.584478724716266,Rare but real
larcPerPop,ratio,MiamiBeachcity,10179.29,3.583177225871409,Rare but real
PctHousNoPhone,percentage,Newburghcity,18.93,3.5819119220496094,Rare but real
PersPerRentOccHous,ratio,SouthGatecity,3.77,3.5813128928697218,Rare but real
PersPerRentOccHous,ratio,Paramountcity,3.77,3.5813128928697218,Rare but real
PersPerRentOccHous,ratio,SanJuancity,3.77,3.5813128928697218,Rare but real
pctWPubAsst,percentage,SanPablocity,23.63,3.5810970719569615,Rare but real
autoTheftPerPop,ratio,Atlantacity,2279.29,3.58068040760749,Rare but real
PctRecentImmig,percentage,Albanycity,6.81,3.5795752513855974,Rare but real
larcenies,count,OklahomaCitycity,29316.0,3.579231567009678,Rare but real
OwnOccQrange,count,Berkeleycity,196500.0,3.577644055074361,Rare but real
robbbPerPop,ratio,Hartfordtown,1000.84,3.576405249889236,Rare but real
PctPopUnderPov,percentage,HighlandParkcity,42.36,3.5750168185099134,Rare but real
PersPerFam,ratio,Mercedescity,3.99,3.5743448875947528,Rare but real
medIncome,monetary,Westporttown,81957.0,3.574248058784689,Rare but real
PctNotSpeakEnglWell,percentage,LosAngelescity,17.45,3.5739408103636356,Rare but real
PctRecentImmig,percentage,Anaheimcity,6.8,3.5733072544135065,Rare but real
robbbPerPop,ratio,Comptoncity,999.36,3.5700909377780445,Rare but real
PctUsePubTrans,percentage,FortLeeborough,20.57,3.5687219103286085,Rare but real
arsons,count,Fresnocity,659.0,3.566247728794473,Rare but real
RentQrange,count,Westfordtown,501.0,3.5652825346260655,Rare but real
nonViolPerPop,ratio,HarperWoodscity,14440.11,3.564240859595418,Rare but real
PctUnemployed,percentage,Hamtramckcity,16.36,3.5629999496463585,Rare but real
racePctAsian,percentage,SantaClaracity,18.6,3.5614554125372746,Rare but real
PersPerRentOccHous,ratio,Fillmorecity,3.76,3.5557842797868067,Rare but real
racePctHisp,percentage,SouthHoustoncity,59.76,3.5518930560756887,Rare but real
arsonsPerPop,ratio,SantaAnacity,168.33,3.550695068978358,Rare but real
PctUsePubTrans,percentage,Wilmettevillage,20.48,3.550398717515666,Rare but real
autoTheftPerPop,ratio,Lawrencetownship,2263.89,3.5501399791724544,Rare but real
ViolentCrimesPerPop,ratio,Palatkacity,2650.26,3.549668984855004,Rare but real
arsons,count,Clevelandcity,656.0,3.549242833382621,Rare but real
ViolentCrimesPerPop,ratio,Daniacity,2649.8,3.548884954923087,Rare but real
racepctblack,percentage,Orangeburgcity,59.87,3.5478174480306617,Rare but real
larcenies,count,Columbuscity,29051.0,3.544335044000244,Rare but real
PctUnemployed,percentage,Camdencity,16.3,3.542274307092154,Rare but real
rapesPerPop,ratio,Everettcity,151.12,3.539616305667932,Rare but real
robbbPerPop,ratio,Harrisburgcity,992.12,3.539202005558433,Rare but real
autoTheftPerPop,ratio,Garycity,2258.2,3.53885588580912,Rare but real
rapesPerPop,ratio,Garycity,150.95,3.534417214403662,Rare but real
PctUsePubTrans,percentage,Atlantacity,20.4,3.534111435015272,Rare but real
murdPerPop,ratio,Shreveportcity,38.19,3.531572534673851,Rare but real
racepctblack,percentage,Greenvillecity,59.63,3.5309681772464816,Rare but real
PctImmigRec5,percentage,Jonesborocity,64.23,3.5308099762325793,Rare but real
RentQrange,count,Durhamtown,498.0,3.530065667071385,Rare but real
arsonsPerPop,ratio,MineralWellscity,167.52,3.5296452527108912,Rare but real
robbbPerPop,ratio,Daniacity,989.26,3.527000024046265,Rare but real
autoTheftPerPop,ratio,Tukwilacity,2252.11,3.5267785345643565,Rare but real
larcPerPop,ratio,CasaGrandecity,10065.52,3.523286592466898,Rare but real
racePctHisp,percentage,Fillmorecity,59.3,3.5203571294515643,Rare but real
PctImmigRec5,percentage,Stillwatercity,64.08,3.5187205662426755,Rare but real
PctFam2Par,percentage,Detroitcity,37.07,3.514882240189927,Rare but real
racepctblack,percentage,AsburyParkcity,59.39,3.5141189064623,Rare but real
PctLargHouseFam,percentage,Watsonvillecity,18.71,3.512204356466294,Rare but real
autoTheftPerPop,ratio,NationalCitycity,2244.63,3.511944612181625,Rare but real
pctWPubAsst,percentage,Comptoncity,23.3,3.5108734542817768,Rare but real
PctWOFullPlumb,percentage,Orangeburgcity,1.92,3.507990775991799,Rare but real
PctWOFullPlumb,percentage,Selmacity,1.92,3.507990775991799,Rare but real
arsonsPerPop,ratio,MountHollytownship,166.68,3.507815813618704,Rare but real
PctNotSpeakEnglWell,percentage,Elizabethcity,17.17,3.50742328757189,Rare but real
PctHousOccup,percentage,Daniacity,75.26,3.507020489278995,Rare but real
autoTheft,count,Bostoncity,11932.0,3.5069088966720403,Rare but real
PctPopUnderPov,percentage,Rexburgcity,41.77,3.5063994864568415,Rare but real
rapesPerPop,ratio,Daytoncity,150.01,3.505669298001231,Rare but real
PctHousOccup,percentage,PompanoBeachcity,75.28,3.5030519186505944,Rare but real
racePctWhite,percentage,Plainfieldcity,26.5,3.501584630566118,Rare but real
racepctblack,percentage,Baltimorecity,59.21,3.5014819533741655,Rare but real
medIncome,monetary,Orindacity,80968.0,3.500561138470954,Rare but real
PctNotSpeakEnglWell,percentage,SanGabrielcity,17.14,3.500296410129917,Rare but real
racepctblack,percentage,Greenwoodcity,59.17,3.4986737415768014,Rare but real
racePctWhite,percentage,Petersburgcity,26.56,3.497929520303434,Rare but real
PctHousOccup,percentage,Laconiacity,75.31,3.497099062707992,Rare but real
PctPersDenseHous,percentage,Weslacocity,23.68,3.491965968438438,Rare but real
larcPerPop,ratio,Daniacity,10005.65,3.491769916524838,Rare but real
racePctHisp,percentage,SantaPaulacity,58.87,3.4908778936942304,Rare but real
PctVacantBoarded,percentage,Alexandriacity,15.31,3.4891212739121964,Rare but real
PersPerFam,ratio,Venicecity,2.29,3.488736329174007,Rare but real
racePctWhite,percentage,MontereyParkcity,26.75,3.4863550044716045,Rare but real
racepctblack,percentage,Vicksburgcity,58.98,3.4853347355393254,Rare but real
PctWOFullPlumb,percentage,Columbiaborough,1.91,3.484521666922681,Rare but real
PctWOFullPlumb,percentage,ForrestCitycity,1.91,3.484521666922681,Rare but real
PctWOFullPlumb,percentage,Lawrencecity,1.91,3.484521666922681,Rare but real
RentQrange,count,Brentwoodcity,494.0,3.4831098436651433,Rare but real
PctHousNoPhone,percentage,Uvaldecity,18.52,3.4816000213733926,Rare but real
PctPopUnderPov,percentage,ForrestCitycity,41.55,3.480813362640441,Rare but real
burglPerPop,ratio,Douglascity,3687.27,3.479887803977959,Rare but real
murdPerPop,ratio,BentonHarborcity,37.71,3.4791408028596025,Rare but real
PctImmigRec5,percentage,EauClairecity,63.58,3.478422532942997,Rare but real
nonViolPerPop,ratio,FortLauderdalecity,14206.91,3.477233633465927,Rare but real
ViolentCrimesPerPop,ratio,SanPablocity,2605.96,3.474163493585607,Rare but real
murdPerPop,ratio,LittleRockcity,37.61,3.4682175253983005,Rare but real
ViolentCrimesPerPop,ratio,Oaklandcity,2601.6,3.46673225336135,Rare but real
PctSameHouse85,percentage,Havelockcity,15.1,3.46521017652522,Rare but real
autoTheft,count,SanAntoniocity,11796.0,3.4651303795006405,Rare but real
burglaries,count,Washingtoncity,11532.0,3.464669699192254,Rare but real
PctLargHouseFam,percentage,Robstowncity,18.52,3.4621180605633075,Rare but real
pctWPubAsst,percentage,Corcorancity,23.06,3.4598017323361874,Rare but real
RentQrange,count,Newtowntown,492.0,3.459631931962023,Rare but real
rapesPerPop,ratio,Portsmouthcity,148.32,3.453984214256435,Rare but real
ViolentCrimesPerPop,ratio,CityofOrangetownship,2594.03,3.4538298477426297,Rare but real
PersPerRentOccHous,ratio,SouthJordancity,3.72,3.4536698274551485,Rare but real
pctWPubAsst,percentage,Palatkacity,23.03,3.453417767092989,Rare but real
nonViolPerPop,ratio,SouthSaltLakecity,14142.21,3.4530939785320585,Rare but real
burglPerPop,ratio,NewBerncity,3666.68,3.452891756404835,Rare but real
PctPersDenseHous,percentage,Sangercity,23.46,3.45266528684755,Rare but real
PersPerFam,ratio,Pomonacity,3.96,3.449702277887068,Rare but real
PersPerFam,ratio,EaglePasscity,3.96,3.449702277887068,Rare but real
PersPerFam,ratio,Robstowncity,3.96,3.449702277887068,Rare but real
PersPerFam,ratio,Delanocity,3.96,3.449702277887068,Rare but real
racePctAsian,percentage,Irvinecity,18.1,3.449669447896001,Rare but real
nonViolPerPop,ratio,CollegeParkcity,14131.86,3.4492323799452653,Rare but real
racepctblack,percentage,Newarkcity,58.46,3.448827982173601,Rare but real
racePctHisp,percentage,Reedleycity,58.24,3.4476873854916255,Rare but real
racepctblack,percentage,Selmacity,58.44,3.4474238762749185,Rare but real
PctPersDenseHous,percentage,Nogalescity,23.43,3.4473061029942467,Rare but real
PctPersDenseHous,percentage,MontereyParkcity,23.41,3.4437333137587114,Rare but real
racepctblack,percentage,Bessemercity,58.37,3.442509505629533,Rare but real
ViolentCrimesPerPop,ratio,Wilkinsburgborough,2586.29,3.440637691931678,Rare but real
pctWPubAsst,percentage,Clearlakecity,22.96,3.438521848192192,Rare but real
ViolentCrimesPerPop,ratio,Commercecity,2584.96,3.438370822780701,Rare but real
PctUsePubTrans,percentage,CityofOrangetownship,19.92,3.4363877400129113,Rare but real
PctImmigRec5,percentage,EastLansingcity,63.05,3.435706617645338,Rare but real
OwnOccQrange,count,LighthousePointcity,190900.0,3.4344130112038327,Rare but real
racepctblack,percentage,Brunswickcity,58.24,3.433382817288102,Rare but real
ViolentCrimesPerPop,ratio,FortPiercecity,2581.96,3.4332575840942856,Rare but real
PctUsePubTrans,percentage,Irvingtontownship,19.9,3.432315919387812,Rare but real
PctNotSpeakEnglWell,percentage,Mercedescity,16.85,3.4314032615241805,Rare but real
racePctHisp,percentage,Demingcity,57.99,3.430548294935036,Rare but real
PctUsePubTrans,percentage,Greenburghtown,19.89,3.4302800090752634,Rare but real
larcPerPop,ratio,Springdalecity,9888.57,3.430136837866139,Rare but real
PersPerRentOccHous,ratio,Walnutcity,3.71,3.4281412143722334,Rare but real
RentQrange,count,Bedfordtown,489.0,3.4244150644073423,Rare but real
PctRecentImmig,percentage,Pomonacity,6.56,3.4228753270833256,Rare but real
PctVacantBoarded,percentage,Louisvillecity,15.07,3.4222984123571947,Rare but real
PctNotSpeakEnglWell,percentage,Edinburgcity,16.81,3.421900758268216,Rare but real
assaultPerPop,ratio,PlantCitycity,1872.24,3.4213009124681735,Rare but real
assaultPerPop,ratio,Miamicity,1871.83,3.4203627073687084,Rare but real
PctLargHouseFam,percentage,Carsoncity,18.36,3.419940127171319,Rare but real
larcPerPop,ratio,Paramusborough,9868.63,3.419640052860549,Rare but real
OwnOccQrange,count,Wilmettevillage,190300.0,3.4190668279319905,Rare but real
PctUnemployed,percentage,ForrestCitycity,15.94,3.4179204517669244,Rare but real
ViolentCrimesPerPop,ratio,EastChicagocity,2572.91,3.4178326473902665,Rare but real
larcPerPop,ratio,Texarkanacity,9861.7,3.415991972615377,Rare but real
PctPopUnderPov,percentage,Boonetown,40.99,3.4156850474714244,Rare but real
medIncome,monetary,RanchoPalosVerdescity,79797.0,3.413314036663691,Rare but real
assaults,count,Miamicity,7089.0,3.4131521705554606,Rare but real
robbbPerPop,ratio,MiamiShoresvillage,962.32,3.412062477914175,Rare but real
racePctAsian,percentage,SanBrunocity,17.93,3.411662219917967,Rare but real
rapesPerPop,ratio,Kilgorecity,146.88,3.409944852959094,Rare but real
PctHousOccup,percentage,SouthKingstowntown,75.75,3.409790508883164,Rare but real
PctImmigRec5,percentage,Bainbridgecity,62.72,3.4091099156675506,Rare but real
racePctWhite,percentage,MuskegonHeightscity,28.02,3.4089885039114787,Rare but real
nonViolPerPop,ratio,LaCanadaFlintridgecity,14021.27,3.4079711057700495,Rare but real
nonViolPerPop,ratio,Sanfordcity,14013.43,3.405045991478217,Rare but real
PctRecentImmig,percentage,NationalCitycity,6.53,3.4040713361670534,Rare but real
nonViolPerPop,ratio,Homesteadcity,14008.32,3.403139443770148,Rare but real
racepctblack,percentage,Kinstoncity,57.78,3.4010883816184223,Rare but real
PctUnemployed,percentage,MossPointcity,15.88,3.39719480921272,Rare but real
medIncome,monetary,LosAltoscity,79579.0,3.397071621468146,Rare but real
burglPerPop,ratio,Jacksoncity,3623.87,3.396762528789224,Rare but real
PctUsePubTrans,percentage,Montclairtownship,19.72,3.395669533761927,Rare but real
autoTheftPerPop,ratio,FortMyerscity,2183.03,3.389782898441484,Rare but real
murdPerPop,ratio,Newarkcity,36.89,3.3895699276769267,Rare but real
PctVacantBoarded,percentage,Annapoliscity,14.95,3.388886981579694,Rare but real
PctNotSpeakEnglWell,percentage,Comptoncity,16.67,3.3886419968723436,Rare but real
