Êcommunityname,PctPopUnderPov,medIncome,PctUnemployed,PctLess9thGrade,PctNotHSGrad,PctSameHouse85,PctForeignBorn,PctImmigRec5,PctFam2Par,PctKids2Par,racepctblack,racePctWhite,racePctAsian,racePctHisp,PctHousOwnOcc,PctHousNoPhone,PctVacantBoarded,PopDens,MedYrHousBuilt,murdPerPop,robbbPerPop,assaultPerPop,larcPerPop,autoTheftPerPop,arsonsPerPop,PctSameCity85,PctSameState85,PctBSorMore,PctEmploy,PctWorkMom
Bountifulcity,4.91,38346.0,3.62,1.6,8.4,61.31,2.07,11.48,85.72,86.66,0.1,98.24,0.95,1.6,76.42,1.01,0.3,3320.6,1966.0,,15.83,94.96,2086.47,97.6,29.02,79.51,90.78,30.51,64.65,60.09
Cadillaccity,15.52,21170.0,12.11,10.09,24.69,52.23,1.5,11.84,66.2,66.63,0.21,98.43,0.48,0.71,62.43,5.82,1.35,1458.4,1949.0,9.52,19.05,228.55,5066.18,161.89,28.57,75.14,93.8,15.47,52.54,70.18
Arlingtontown,4.63,43309.0,4.47,4.32,11.49,64.73,11.97,20.43,81.11,80.11,1.34,95.19,3.03,1.65,57.02,0.46,0.66,8311.0,1940.0,2.16,23.77,155.6,771.52,209.63,6.48,84.29,89.3,41.89,66.83,70.17
PaloAltocity,4.65,55333.0,2.4,1.9,5.27,51.22,18.06,31.07,78.37,77.02,2.88,84.9,10.44,4.99,56.74,0.67,2.04,2278.3,1955.0,,106.62,115.36,4537.59,328.61,26.22,69.24,83.07,65.16,68.21,69.06
Spartatownship,1.9,63032.0,3.85,1.95,6.87,54.99,4.92,5.89,89.66,88.94,0.38,98.17,1.13,1.81,86.37,0.13,0.8,391.2,1962.0,,6.45,45.12,1031.33,77.35,6.45,70.07,85.2,42.62,68.78,61.02
Stratfordtown,3.54,41745.0,4.97,9.02,22.22,69.46,6.16,8.65,78.38,75.43,7.89,90.07,0.81,3.59,79.75,1.1,5.82,2711.4,1954.0,1.99,153.58,39.89,2652.73,789.84,35.9,92.04,95.25,21.25,62.31,73.0
DeerParkcity,5.17,46199.0,5.29,4.25,15.69,55.3,3.02,13.65,83.69,80.28,1.08,92.19,1.18,10.8,75.04,3.47,4.26,2574.7,1973.0,,26.35,181.12,1307.38,131.73,3.29,88.98,95.03,15.34,69.4,66.53
ArlingtonHeightsvillage,2.4,51331.0,2.65,3.85,10.22,54.67,9.33,19.0,89.28,89.02,0.63,94.77,3.71,2.71,72.59,0.45,0.06,4503.5,1969.0,2.6,25.95,54.5,1869.7,81.74,33.74,86.49,91.41,39.55,69.46,61.39
Hazelwoodcity,4.45,35197.0,3.96,5.9,17.59,57.53,2.36,9.39,73.9,72.03,10.6,87.82,0.96,1.4,63.49,0.6,0.73,3023.7,1966.0,12.56,150.67,238.56,2743.42,671.73,43.95,79.84,88.82,20.23,72.3,76.92
NewHopecity,6.51,36096.0,4.28,4.78,11.91,54.47,3.54,11.64,72.55,73.06,2.48,94.74,1.96,1.06,55.52,0.52,0.0,4124.5,1967.0,4.69,65.62,126.55,2465.32,182.79,18.75,82.22,91.22,25.42,70.05,82.5
Newberrytownship,2.7,35005.0,2.96,8.13,22.42,58.23,1.18,5.63,82.67,80.61,0.37,98.81,0.42,0.78,87.25,2.51,1.91,380.8,1975.0,,0,31.56,1507.02,86.79,7.89,78.87,94.31,14.09,75.1,78.44
SouthElMontecity,21.19,27074.0,11.49,39.05,63.37,54.48,46.11,25.46,71.97,61.45,0.49,65.84,5.22,84.57,49.04,7.27,5.38,6959.3,1960.0,18.01,490.9,977.3,1688.88,1080.89,49.54,88.49,90.81,3.54,57.83,53.29
Stephenvillecity,22.14,18346.0,7.18,8.74,23.7,36.61,2.38,28.4,77.45,72.91,1.33,93.1,0.7,7.04,52.94,8.67,1.21,1605.9,1970.0,,20.72,34.54,3771.5,69.08,6.91,60.09,95.69,27.65,55.69,61.19
Cudahycity,27.54,22279.0,10.24,44.2,68.7,40.38,55.24,32.71,66.61,59.29,1.15,30.38,1.76,88.92,16.86,7.74,2.58,20014.9,1964.0,12.96,297.98,1252.38,1377.61,699.6,25.91,83.12,86.03,2.82,56.99,45.04
Lincolntownship,3.48,37771.0,3.6,5.01,15.01,53.98,3.34,4.4,85.65,85.49,0.77,97.83,0.99,1.29,75.78,0.31,0.32,732.3,1969.0,,0,187.39,2198.2,64.86,14.41,82.09,87.16,27.03,68.65,71.03
Albanycity,9.59,34836.0,2.96,2.94,8.15,42.34,25.19,41.12,70.48,69.72,6.01,70.7,19.56,8.11,45.84,0.7,1.45,9255.7,1945.0,5.9,247.63,341.96,2753.38,536.52,0,63.05,81.28,55.47,65.62,69.43
Ewingtownship,3.31,43191.0,3.82,7.82,20.69,63.83,5.72,12.22,80.43,74.9,18.26,78.71,1.79,2.69,74.97,0.64,2.4,2151.6,1958.0,5.69,108.15,71.15,2923.01,1462.93,51.23,81.92,93.72,25.55,62.49,76.29
FortThomascity,4.39,36977.0,3.09,4.8,14.31,61.9,0.76,4.96,84.83,84.48,0.37,99.22,0.3,0.36,71.61,1.03,0.99,2747.1,1952.0,,0,55.52,678.55,61.69,0,84.59,90.28,30.13,62.83,72.69
LaMiradacity,3.89,47143.0,4.57,5.46,18.94,59.81,15.87,18.11,83.2,75.14,1.39,81.23,8.24,25.86,82.43,0.75,0.16,4974.4,1959.0,4.29,178.21,448.74,1494.36,753.62,23.62,84.01,93.72,17.8,64.75,68.27
Swataratownship,6.6,33817.0,3.75,9.96,23.65,61.99,3.5,3.34,78.34,76.49,9.31,88.42,1.17,2.31,71.17,0.85,1.09,1435.5,1962.0,,120.02,365.05,5320.8,435.07,15,87.42,95.51,15.17,63.08,75.62
Totowaborough,3.09,46309.0,3.91,17.12,31.91,75.13,12.6,9.83,85.84,79.7,1.18,96.83,1.33,2.73,81.27,0.2,0.91,2458.9,1954.0,,57.52,115.04,3585.47,795.71,9.59,89.77,95.4,16.47,58.19,67.2
WestCaldwelltownship,1.01,65920.0,2.03,5.68,11.35,71.74,8.49,9.83,92.06,90.36,0.51,95.7,3.47,1.73,89.71,0.0,0.0,1992.3,1955.0,,47.2,37.76,2010.76,207.68,0,87.55,94.77,41.55,69.73,68.1
Coventrytown,4.85,37230.0,5.7,9.2,25.57,65.61,2.84,3.4,83.82,81.05,0.26,99.0,0.37,0.84,80.34,0.98,1.0,503.9,1965.0,,3.21,109.03,1632.19,118.65,51.31,86.75,94.86,14.17,66.47,72.99
CalumetCitycity,9.82,30138.0,7.73,9.64,26.98,56.59,5.13,10.14,66.47,64.31,23.68,73.28,0.56,6.41,62.45,3.05,2.86,5023.9,1965.0,18.2,340.55,431.54,4887.31,1996.52,98.79,93.47,94.64,10.44,58.81,66.92
Troycity,2.83,55407.0,3.19,3.54,11.07,55.47,11.61,19.21,89.95,89.58,1.35,91.52,6.78,1.27,74.7,0.34,1.07,2098.0,1972.0,1.26,35.23,232.8,3236.48,421.55,21.39,78.04,89.91,39.89,70.67,63.92
Danvillecity,2.1,74472.0,2.41,1.15,4.27,50.03,9.11,8.21,87.01,86.84,0.83,91.59,6.48,4.11,87.79,0.07,0.5,1708.1,1975.0,2.57,12.85,7.71,1295.5,46.27,23.13,70.31,89.16,48.33,70.87,65.02
Waycrosscity,27.9,16586.0,8.17,20.25,43.86,55.69,0.71,11.97,52.88,45.98,48.72,50.57,0.46,0.66,59.03,15.29,2.47,1400.2,1960.0,11.15,301.15,356.92,7439.63,323.46,44.62,84.85,93.41,11.17,46.8,66.38
Centervillecity,3.74,45424.0,2.44,2.35,7.79,48.6,3.93,16.79,83.18,83.8,1.27,96.3,2.17,0.87,71.17,0.19,0.42,2274.5,1974.0,,32.06,59.53,2404.29,160.29,22.9,78.36,87.04,40.27,66.01,70.65
Rostravertownship,10.86,25615.0,10.57,7.83,22.71,73.28,0.71,0.0,81.29,77.92,2.35,97.3,0.19,0.49,83.44,0.86,4.01,336.8,1960.0,,17.52,43.81,2698.44,376.73,8.76,85.35,97.39,13.11,50.13,60.84
Ryecity,3.85,69695.0,2.55,2.89,9.91,59.29,23.12,48.91,88.47,89.05,1.62,90.33,6.9,4.65,71.63,0.22,0.53,2495.0,1948.0,13.35,13.35,6.68,1381.84,213.62,0,76.75,80.96,51.24,62.67,41.95
Lyndhursttownship,3.87,41000.0,4.55,12.36,29.89,75.41,11.35,14.18,81.08,78.41,0.43,96.08,2.64,4.68,63.6,0.22,0.35,3792.6,1947.0,,52.45,94.41,2307.77,713.31,15.73,86.12,94.68,14.99,61.28,64.16
Somervillecity,11.47,32455.0,6.33,11.08,24.82,49.22,22.27,31.67,68.84,66.35,5.6,88.73,3.71,6.28,31.0,1.94,3.07,17893.0,1939.0,,177.45,57.71,1367.65,1097.87,11.54,70.48,78.68,30.88,66.46,68.15
Sheltontown,2.5,49965.0,4.44,6.88,16.88,62.02,7.6,15.19,86.45,83.98,0.97,97.11,1.29,2.48,79.48,0.67,5.31,1118.7,1968.0,,27.1,13.55,726.19,249.29,10.84,86.2,92.38,23.93,68.34,69.48
NorthBergentownship,9.49,33488.0,7.69,18.23,35.46,58.11,39.07,17.32,73.91,70.77,2.09,84.17,4.77,41.18,39.98,2.07,1.78,8999.6,1950.0,3.98,159.08,113.34,1996.46,1113.56,7.95,81.55,87.19,18.21,62.05,65.18
Columbuscity,18.63,24056.0,7.16,11.26,28.48,45.66,3.4,22.83,63.91,57.84,38.02,58.99,1.4,2.95,53.87,8.14,2.78,800.0,1965.0,16.81,236.96,331.53,4072.97,547.48,24.17,73.83,79.19,16.61,60.99,67.39
MortonGrovevillage,2.94,47808.0,2.77,7.35,15.83,69.54,22.72,8.06,91.42,90.16,0.26,83.84,15.04,2.76,92.8,0.12,1.69,4247.2,1958.0,4.47,31.29,107.28,2413.73,192.2,17.88,95.19,95.97,29.65,64.18,76.0
TwinFallscity,14.44,23206.0,4.35,7.94,23.5,46.13,2.88,29.4,75.22,74.19,0.17,94.76,1.6,6.75,62.76,8.53,1.3,2526.6,1960.0,3.09,43.21,361.08,4601.43,388.85,37.03,75.89,87.13,13.67,62.4,72.64
Minnetonkacity,2.06,50659.0,3.65,1.53,5.75,53.1,2.64,8.14,85.62,84.43,0.92,97.06,1.59,0.81,76.63,0.33,0.21,1722.6,1974.0,,25.36,33.17,2218.28,132.67,17.56,81.68,89.03,43.15,73.54,74.03
EastProvidencecity,6.79,31007.0,5.57,14.33,33.08,65.57,14.74,9.47,77.15,74.52,4.35,92.11,0.58,1.68,60.35,1.64,1.63,3629.0,1955.0,,40.24,106.62,1941.38,422.48,40.24,89.29,92.52,15.97,61.49,75.84
Cohoescity,13.14,24319.0,7.11,15.34,33.74,55.3,4.56,9.77,62.98,61.44,0.64,98.72,0.27,0.65,45.2,4.95,4.74,4339.5,1939.0,,18.93,643.78,1382.23,88.36,?,82.64,95.42,10.12,56.82,69.46
GlensFallscity,10.97,27312.0,5.84,6.52,20.96,53.85,1.84,5.45,68.14,66.85,1.16,98.17,0.28,1.05,50.87,4.47,2.5,3763.7,1939.0,,88.65,1824.63,5835.86,125.58,?,80.5,94.02,20.38,61.92,76.26
Dyersburgcity,22.74,20053.0,7.35,25.26,44.8,50.67,0.42,50.72,63.43,57.94,19.32,80.12,0.26,0.44,53.84,10.84,2.32,1417.4,1965.0,22.22,111.1,727.7,4838.35,333.3,0,81.63,91.08,11.96,54.78,67.88
Cromwelltown,2.61,46970.0,3.09,5.61,13.97,51.61,6.19,11.56,84.1,80.42,2.51,95.78,1.2,1.82,75.22,0.35,0.88,957.1,1972.0,,78.98,55.28,2416.68,379.09,0,69.29,88.58,31.53,67.87,75.7
Bloomfieldtownship,1.42,84441.0,2.08,1.82,4.35,59.03,11.14,16.23,91.46,90.62,2.39,91.74,5.56,1.24,90.34,0.2,0.0,1642.9,1964.0,,45.83,126.02,2272.94,219.96,27.5,83.9,90.58,58.49,64.64,58.4
Cranstoncity,6.52,34528.0,5.96,8.52,26.03,63.0,7.34,9.38,78.22,75.87,2.42,95.08,1.77,2.01,66.36,1.68,0.94,2569.9,1955.0,,46.89,108.1,2149,441.52,20.84,88.23,93.89,21.11,58.19,66.56
Marshallcity,25.49,19077.0,8.43,12.58,31.7,54.68,1.64,24.68,63.28,56.86,41.65,55.77,0.38,2.79,65.38,12.5,3.68,952.2,1957.0,29.46,151.5,681.73,5256.07,412.41,42.08,81.54,92.62,15.95,50.76,69.15
CoralGablescity,6.47,47506.0,4.03,4.82,10.4,45.18,35.61,16.45,79.7,76.81,3.42,93.05,1.74,41.85,63.61,1.25,2.45,3272.2,1956.0,2.36,552.06,401.07,9167.91,1986.46,16.51,72.92,77.58,49.12,59.99,60.42
Hagerstowncity,15.82,22859.0,4.28,13.43,34.97,47.81,1.3,24.51,61.26,56.96,6.3,92.55,0.74,0.78,41.15,8.45,9.24,3450.1,1947.0,,146.96,440.88,3060.38,270.72,54.14,84.82,89.79,9.93,59.94,65.17
Vernontown,5.32,40543.0,3.5,7.43,18.96,54.87,5.82,12.26,75.0,73.26,2.26,94.83,1.96,2.01,57.58,2.95,0.98,1624.6,1964.0,,82.37,118.61,1584.79,233.93,32.95,75.7,90.32,25.68,72.64,77.77
Killeencity,14.5,22468.0,9.52,5.11,14.16,30.01,8.49,21.73,76.38,71.52,30.08,58.09,5.75,14.0,41.46,10.13,1.69,2215.9,1976.0,7.11,264.17,265.35,3316.91,335.24,161.11,49.87,58.21,14.42,66.07,63.75
Morgantowncity,30.75,18022.0,8.03,6.27,14.84,36.12,5.68,59.16,78.5,77.44,3.48,91.95,4.07,1.09,44.37,3.73,1.2,3226.8,1952.0,,48.86,221.77,3788.9,187.94,26.31,49.2,66.96,44.17,46.44,68.12
Athenscity,23.33,19259.0,9.34,22.98,40.15,52.07,0.75,31.87,67.25,63.34,9.42,89.8,0.51,0.5,62.86,13.46,1.18,951.5,1964.0,,78.4,548.78,3463.76,356.35,21.38,79.81,90.54,17.39,51.6,67.36
Clintontownship,5.65,39215.0,6.03,5.69,19.85,53.34,6.1,8.38,79.54,78.98,3.01,95.4,1.06,1.17,71.39,1.3,1.15,2939.4,1974.0,,72.53,272,2485.41,334.33,13.6,85.23,95.86,14.53,65.75,64.9
Hamdentown,4.36,41814.0,3.83,6.97,15.22,60.29,7.16,14.73,82.45,80.38,8.69,88.92,1.78,2.02,70.21,0.97,1.37,1543.8,1957.0,3.77,97.95,60.28,3100.45,435.12,1.88,86.18,90.2,32.38,64.65,74.37
Friendswoodcity,2.94,50492.0,3.72,2.01,7.43,50.32,4.25,12.67,84.67,83.56,2.72,93.82,1.69,6.08,75.4,0.0,1.03,1061.7,1976.0,3.45,31.09,127.82,1416.43,120.91,13.82,69.13,90.54,34.87,73.04,67.99
SanGabrielcity,15.17,32559.0,6.15,14.87,29.14,44.59,42.67,30.51,73.05,69.01,1.06,47.96,32.45,36.29,48.49,2.04,1.92,8664.8,1954.0,10.48,429.62,345.79,1584.89,709.93,23.58,82.46,84.95,21.79,59.54,60.21
SanLuisObispocity,27.39,25982.0,5.68,3.79,11.01,29.02,8.62,28.62,70.76,70.13,1.9,88.68,5.11,9.42,44.07,1.64,0.43,4363.4,1969.0,,78.99,483.83,3527.52,271.54,118.49,53.42,91.05,34.88,57.13,70.33
Bedfordcity,3.56,42453.0,3.53,1.76,7.02,37.94,4.07,23.46,82.09,81.72,2.64,92.83,2.49,4.62,54.96,1.75,0.08,4219.2,1981.0,,50.34,102.87,2512.58,225.43,8.75,66.22,81.5,34.29,78.3,73.33
Lakevillecity,3.03,44920.0,3.86,1.96,6.02,40.51,1.4,18.1,87.29,86.1,0.66,97.42,1.28,0.84,88.63,0.57,1.57,662.7,1980.0,2.96,2.96,80.03,2125.26,186.74,59.28,64.44,86.77,20.46,81.8,78.51
Marshfieldcity,8.08,26771.0,4.82,13.58,23.13,51.42,1.21,10.53,79.08,81.32,0.19,98.55,0.9,0.63,62.57,2.63,0.0,1787.2,1964.0,,5.05,141.48,3314.64,85.9,10.11,78.23,92.55,19.83,65.08,78.42
BigRapidscity,44.45,14990.0,11.35,7.68,17.72,25.0,3.21,49.5,64.98,66.4,5.03,92.79,0.94,1.56,39.18,4.57,1.03,2044.6,1957.0,,71.17,213.52,3693.16,63.27,23.72,36.47,92.02,31.01,44.91,67.97
Grovescity,8.58,31053.0,4.93,6.09,19.02,63.81,1.79,7.12,80.28,77.79,3.42,94.14,0.58,6.68,75.24,3.72,1.9,3058.0,1957.0,,81.62,64.13,3638.06,343.98,23.32,89.36,96.22,12.46,52.66,59.72
Longviewcity,16.98,25377.0,7.22,7.78,22.56,46.98,2.41,30.11,71.28,67.62,19.9,76.64,0.59,4.12,58.12,9.08,4.11,1297.6,1970.0,13.4,265.26,456.84,4915.33,722.09,29.47,75.26,91.62,18.91,59.66,65.73
Norfolkcity,19.32,23563.0,6.1,8.78,27.31,39.31,3.74,28.07,62.76,55.53,39.05,56.74,2.61,2.91,44.02,10.51,3.94,4690.3,1958.0,25.42,585.59,440.83,5550.38,891.1,55.36,62.4,71.19,16.82,64.57,62.4
Birminghamcity,24.82,19193.0,9.24,10.65,30.7,57.21,1.2,39.8,52.09,44.48,63.27,35.96,0.56,0.39,53.39,6.13,7.24,1728.9,1959.0,44.69,630.15,1682.13,5513.28,1309.06,79.42,89.24,93.57,16.15,53.83,71.55
McCombcity,37.49,14579.0,10.95,15.74,35.93,62.07,0.63,9.59,50.4,45.15,46.2,53.46,0.16,0.46,61.56,10.46,1.75,1532.4,1961.0,32.63,244.74,448.69,5522.92,358.95,24.47,83.31,87.82,15.95,45.99,66.47
RoundRockcity,9.05,33228.0,4.03,6.79,14.97,35.37,4.56,17.3,78.66,76.4,5.54,84.65,1.07,18.74,53.96,5.7,3.18,1561.8,1982.0,2.37,35.53,94.75,2447,213.19,14.21,52.2,88.66,22.12,75.79,76.61
Bridgeporttown,17.07,28704.0,10.62,17.99,38.91,50.12,14.63,24.62,53.59,46.99,26.6,58.54,2.32,26.5,44.15,8.66,13.77,8545.4,1948.0,45.09,1172.43,637.32,2870.95,2695.09,144.3,86.56,88.23,12.28,57.72,65.86
Onalaskacity,5.21,32624.0,2.91,5.78,13.91,49.64,1.76,17.09,80.59,81.3,0.22,99.04,0.45,0.38,67.79,0.68,0.73,1693.4,1975.0,,7.82,39.11,4935.09,54.75,0,76.62,89.84,26.83,74.5,85.28
Northvilletownship,1.58,55465.0,3.19,2.26,10.94,46.74,6.01,18.44,85.79,82.63,6.17,90.75,2.5,1.07,71.01,0.11,1.04,1015.5,1977.0,,16.87,39.35,2321.79,140.54,11.24,75.26,90.6,39.06,62.54,64.08
Lincolnwoodvillage,2.16,57309.0,4.13,5.17,11.45,69.38,27.64,5.32,90.3,88.98,0.11,83.58,15.57,3.24,96.0,0.34,0.0,4129.7,1956.0,,153.94,102.63,4934.58,359.19,25.66,96.23,97.17,41.85,61.33,63.67
Lawrencevillecity,8.85,34826.0,4.29,8.27,24.64,34.36,2.96,35.47,76.51,73.67,5.68,91.57,1.89,1.82,57.33,6.14,0.82,1317.5,1981.0,,64.54,276.61,3863.35,465.63,32.27,61.52,76.54,21.32,70.97,73.55
SouthBurlingtoncity,3.62,42358.0,2.46,2.98,8.97,43.35,5.29,17.99,76.75,77.83,0.56,97.03,1.94,0.91,71.63,0.66,0.39,743.7,1971.0,,30.57,68.78,5242.64,122.28,?,78.31,83.85,39.12,70.38,75.13
Indianolacity,7.29,28815.0,3.34,5.84,14.19,48.84,0.44,20.0,77.72,77.63,0.28,99.0,0.42,0.49,63.51,2.36,0.0,1307.3,1966.0,,0,7.93,2759.5,55.51,?,73.42,94.25,21.79,68.05,85.03
MountPleasanttown,5.81,38605.0,1.97,3.14,9.74,36.3,2.3,6.08,79.98,78.87,9.19,89.93,0.63,0.93,62.06,2.07,1.22,1333.6,1980.0,2.9,23.18,113.01,3442.58,211.54,0,67.71,75.16,41.75,73.01,73.07
AlbertLeacity,11.62,23381.0,9.37,13.22,24.27,59.93,1.17,13.95,76.67,75.92,0.03,96.36,0.5,4.9,71.62,4.09,1.01,1849.7,1954.0,,11.08,155.12,3241,216.07,16.62,85.5,92.97,14.05,56.25,79.88
Hendersoncity,20.24,23238.0,7.72,13.27,33.75,58.04,2.78,38.39,71.1,64.5,24.27,72.26,0.14,5.28,68.91,13.14,1.75,985.4,1962.0,16.7,200.38,2137.43,6053.27,1235.7,0,85.75,96.63,15.05,51.76,70.05
LakeWorthcity,17.08,21665.0,5.64,14.15,32.9,42.8,20.39,29.14,62.69,57.78,14.91,80.51,0.88,15.71,55.57,7.87,3.46,4911.3,1962.0,18.74,640.26,986.94,7898.68,1286.78,0,74.38,78.35,12.51,55.43,65.87
Bethlehemtownship,2.88,42235.0,2.87,7.25,18.25,57.64,3.8,3.85,88.98,87.5,1.21,96.68,1.47,2.55,86.34,0.84,0.49,1087.2,1974.0,,23.94,53.88,2424.42,71.83,5.99,76.36,83.77,20.88,68.71,71.38
MichiganCitycity,16.41,23127.0,7.88,9.71,30.88,57.65,1.99,5.64,62.08,57.64,22.54,75.77,0.67,1.76,59.82,8.2,7.68,1665.8,1954.0,11.7,269.01,318.72,4903.65,1064.36,20.47,87.23,92.92,9.43,55.93,75.04
Kenoshacity,12.73,27770.0,7.8,9.18,26.84,53.32,5.01,14.19,68.34,65.57,6.39,89.78,0.56,5.89,61.99,4.39,2.74,3599.2,1954.0,9.32,150.34,314.66,3660.5,363.6,38.46,83.0,87.28,12.18,59.77,70.24
WestWindsortownship,3.32,76907.0,2.85,2.23,6.0,37.7,15.22,24.0,93.55,92.58,2.58,81.9,14.72,2.66,76.17,0.54,0.21,594.6,1983.0,6.07,42.51,48.58,1639.74,740.92,0,50.71,68.09,65.87,70.19,59.41
SantaBarbaracity,12.68,33667.0,4.6,10.13,20.9,41.54,22.53,32.7,69.29,63.88,2.24,77.75,2.33,31.46,42.17,2.54,0.53,4371.2,1959.0,5.81,184.76,538.02,3854.47,262.62,20.92,74.17,85.6,33.12,65.45,68.78
Harveycity,25.57,23201.0,17.3,13.23,33.29,57.0,4.42,18.78,46.13,37.44,79.99,15.08,0.27,6.49,58.83,15.23,29.5,4637.2,1955.0,58.12,1188.25,613.5,4426.86,2896.35,38.75,93.88,95.17,7.96,54.09,68.29
Danvillecity,18.96,20413.0,8.71,20.69,42.55,59.51,0.68,8.91,60.31,53.99,36.62,62.66,0.49,0.52,59.44,10.52,6.5,1189.2,1957.0,18.26,142.41,180.75,2961.31,149.71,31.04,81.4,92.62,12.42,54.71,74.42
Logansportcity,15.86,20533.0,9.68,9.27,29.84,58.62,0.84,6.38,66.81,64.63,1.17,98.04,0.23,0.6,63.26,8.77,2.44,2530.4,1939.0,,11.75,23.5,4048.42,64.63,0,87.31,94.98,6.83,56.21,77.68
Moorparkcity,4.29,60368.0,3.58,6.97,14.67,28.32,15.35,19.93,88.3,84.09,1.55,78.88,6.63,22.02,80.15,0.92,0.0,2007.4,1984.0,3.43,41.15,181.74,819.53,150.88,27.43,62.25,87.86,28.42,76.51,67.88
RedBankcity,9.92,25015.0,4.97,7.97,24.1,52.45,1.59,27.55,69.37,66.46,5.46,93.04,0.88,1.11,54.55,3.5,0.9,1839.1,1962.0,,83.33,583.28,3716.36,474.96,16.67,86.32,89.78,17.99,61.5,75.61
Augustacity,33.31,15315.0,9.64,20.83,42.8,50.51,1.69,30.5,38.93,32.08,55.99,43.04,0.61,0.75,42.85,12.67,4.91,2191.6,1951.0,33.82,471.17,299.83,5216.65,1201.59,36.07,81.19,88.83,17.41,45.99,61.23
Bartletttown,2.33,47346.0,2.41,1.84,9.08,47.99,1.55,7.88,88.51,85.69,2.42,96.42,0.95,0.7,90.88,0.38,0.28,1808.4,1977.0,,48.08,150.24,2166.4,105.17,?,82.2,84.94,23.51,74.51,74.14
Goshentown,4.71,46566.0,4.9,9.48,22.42,59.11,6.04,12.64,84.14,79.97,7.17,90.34,1.12,4.49,70.96,1.33,2.35,252.4,1962.0,,0,17.24,465.6,34.49,?,79.21,92.25,24.07,58.57,73.88
WestOrangetownship,4.14,49777.0,4.03,6.64,16.83,65.23,15.97,19.66,84.59,82.47,5.73,87.64,5.58,4.42,68.89,0.51,1.38,3115.4,1953.0,,163.78,120.94,2003.12,1133.84,2.52,83.34,90.11,37.7,63.27,65.83
Redmondcity,3.63,42299.0,2.85,1.84,5.98,36.9,9.57,27.82,78.9,79.43,1.32,91.07,6.28,2.46,57.62,0.7,0.37,2393.0,1979.0,2.47,44.54,51.96,3231.47,215.27,39.59,68.33,76.63,40.94,76.17,71.65
Madisonborough,3.74,56478.0,3.51,6.1,12.51,50.74,10.62,20.56,83.38,81.42,4.44,91.87,2.88,2.81,66.11,0.52,1.22,3651.4,1951.0,,25.25,25.25,1281.24,119.92,0,68.02,82.32,49.26,62.33,60.69
Brooklinetown,8.61,45598.0,4.8,3.05,6.82,49.81,21.39,36.6,77.06,76.88,3.1,87.43,8.38,2.92,43.11,0.53,0.6,7778.6,1939.0,1.77,127.73,331.75,2446.47,624.48,7.1,60.48,76.81,63.68,65.96,71.24
Scituatetown,3.91,52044.0,4.75,1.89,6.75,67.4,3.74,25.48,84.75,84.17,0.39,97.37,0.45,0.75,80.61,0.61,9.47,942.9,1954.0,,5.6,28.01,750.66,84.03,61.62,84.16,93.36,39.95,65.71,67.31
LaGrangecity,21.33,21851.0,8.82,20.39,42.35,48.88,1.56,46.25,56.41,49.26,42.35,56.71,0.77,0.59,48.8,12.32,3.91,952.1,1962.0,14.5,224.71,869.85,7281.36,489.29,10.87,82.93,90.93,16.2,56.69,74.84
BellGardenscity,26.08,23819.0,13.37,48.23,73.66,41.95,52.1,28.62,68.79,61.95,0.53,38.18,1.29,87.53,22.52,10.34,2.65,16265.4,1960.0,18.76,501.82,766.8,1317.86,921.56,23.45,86.67,88.58,1.72,56.22,47.29
Lufkincity,20.94,22357.0,6.37,13.67,31.05,50.5,5.22,24.56,70.39,64.41,27.22,65.22,0.79,9.64,60.46,8.01,4.19,1236.1,1968.0,18.6,164.31,589.04,4396.08,455.73,15.5,80.94,94.94,18.83,55.7,69.31
EastWindsortownship,2.82,49849.0,3.37,3.07,9.24,53.38,10.61,25.84,83.59,82.46,6.44,86.37,5.34,5.43,63.25,0.49,0.4,1378.1,1972.0,,26.12,60.94,1410.29,126.23,0,65.76,81.81,45.34,73.56,67.0
Hutchinsoncity,7.43,29492.0,3.23,12.78,19.62,50.52,1.08,24.8,80.59,81.37,0.17,98.58,0.62,0.9,67.43,2.36,1.42,2059.4,1969.0,7.89,7.89,78.91,3882.58,126.26,31.57,76.27,94.02,16.51,68.22,79.59
Bothellcity,3.63,37159.0,3.3,2.41,10.01,42.69,6.44,7.91,78.76,79.29,0.83,94.67,3.37,1.86,65.36,0.93,0.88,2241.3,1978.0,,75.42,120.67,5362.4,407.27,113.13,71.74,86.92,27.18,69.35,70.2
Kirkwoodcity,2.82,42113.0,3.12,5.18,11.77,62.96,2.11,8.84,81.26,80.46,5.93,93.13,0.74,0.69,77.96,0.12,1.64,2921.9,1955.0,3.51,59.59,157.73,1815.63,136.7,17.53,84.26,91.96,42.87,63.68,67.7
FountainValleycity,3.54,56255.0,3.96,3.83,11.27,56.39,19.44,20.26,82.26,78.73,0.95,78.23,17.73,8.11,75.15,0.27,0.16,5813.2,1971.0,5.38,157.86,102.25,3535.74,694.23,16.14,81.78,89.24,31.33,70.72,68.02
Franklincity,7.25,32348.0,3.52,10.81,23.2,38.41,1.61,31.58,73.31,70.35,17.99,81.05,0.51,0.92,54.62,3.39,0.43,760.1,1979.0,3.89,108.87,334.38,3596.56,291.61,15.55,62.91,76.88,28.74,70.75,73.3
